,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,fname,nAgets,blah,fit1,fit2,ll,short_fname,lab,cluster
84023,0.9535006128579319,-0.013768929087611383,-1.7101529746679331,0.0041607054808160335,0.015796075186856023,-1.4615304875363377,-7.726148844342074,3.1582687107594314,0.004531809010627764,95.70623201343952,24.391528889889102,3.3918812102419995,48.17077995597653,22.80466761698665,1.3211037541206554,1.0959097434110177,-1.3494510873370689,-0.11943358817313675,0.0011151136034064219,1.2561953727725443,-0.21544653201091657,-0.9111540974748755,-0.3450231214231181,0.1956116803441003,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt23,200,23,36,0,-113727.18162769655,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84024,0.9474428015386432,-0.012577336759157988,-1.6964303360924307,0.011292183371968231,0.0058854817762272315,-1.381845852310145,-7.474945288399917,2.8796294283013486,0.014979667042571618,99.98159811910784,24.770183011229733,3.567148847452663,49.9154441961075,22.640360135793756,1.453409082648534,1.0012542877696857,-1.1851129117637207,-0.11465069762365705,0.00023753672141313073,1.166602560160146,-0.17566473976818178,-0.914553976168577,-0.3269089711977426,0.19793303748543994,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt24,200,24,36,0,-114255.99350997662,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84025,0.904453083690069,-0.010098099091624107,-1.8754083664647085,0.08697090927615514,0.000548860294779973,-1.3621873638218494,-7.289604649109212,2.843565991581148,0.002081104540040124,93.93474219139907,23.5677389208171,3.7418665535719486,45.4472800963799,21.427615053020304,1.485191672128138,1.1003915838361005,-1.2712963451354178,-0.1386137209229736,0.0017163413150308065,1.1415056855510337,-0.17643082143392272,-0.8985940956490619,-0.4119772652787667,0.159448298035866,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt25,200,25,38,0,-113918.34788285766,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84027,0.9492801003443959,-0.00919598582818945,-1.6582807287798824,-0.06892563203147008,0.015846585859367237,-1.4980041299638855,-8.118584432960468,3.4362393988254616,0.007535618663214665,109.55878468505239,26.417423954516973,3.096603062667927,54.29354913182909,24.552675784687562,1.1625650741522686,1.02033563047065,-1.462657346521553,-0.11469531278124909,0.0011479732852291502,1.222903414039585,-0.21444647692019064,-0.9267929300181232,-0.2684655055798915,0.24397040374219833,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt27,200,27,42,0,-119441.68430884724,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84028,0.9196233581703144,-0.006737090657814781,-1.773639821475456,0.030966242975831983,0.004166205072815387,-1.3982157156126056,-7.378982020344258,2.917019089464124,0.011637682749851445,94.1232738835265,25.286397410375944,3.607813693260641,45.904254811814866,23.2558253054991,1.4031329014378353,1.041330917783868,-1.272020976537314,-0.12841226727173477,0.0005570873719484041,1.1871828448067547,-0.14278875817564185,-0.9112986086116729,-0.33596201262234715,0.15815710034563651,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt28,200,28,35,0,-116224.0502529228,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84029,0.9369029332875187,-0.004368292543532249,-1.823739171405069,0.0466529336008445,0.026894997362901484,-1.3691276070974339,-7.782072720742738,3.291282075680138,0.015095497864775225,98.02957357962329,24.188186967267352,3.3436685663682932,48.741901014569265,22.253295992709113,1.2693432119165777,0.9954021930390343,-1.3703363366891066,-0.13125388324521356,0.00048340593904709525,1.1835166243830475,-0.29297202576739656,-0.9100750508553909,-0.3518447763972793,0.1261452382427335,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt29,200,29,38,0,-115029.84605456852,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84030,0.9256849662745212,-0.01176758260500961,-1.894152650924542,0.025601085604275695,0.009872308083425178,-1.417951310642192,-7.113090806541649,2.9133423580472444,0.11251983613831161,93.13641906849861,23.58683097332509,3.695419883165783,46.15014776760822,21.703341227288035,1.4887406447804927,1.0438884127257615,-1.2525475346923918,-0.12779544565144982,0.0020741226366396705,1.222918986476049,-0.23097843067697946,-0.8974952589651889,-0.3690118219432639,0.04554129547163538,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt30,200,30,34,0,-114559.47398917796,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84032,0.9390103398352775,-0.01116358290924378,-1.794638062727883,0.026912965984597723,0.002391894353035987,-1.3666661257206072,-7.599217768912224,3.0964073945411514,0.008633320944045406,99.16726775483704,26.090032982425274,3.5278691928302117,49.67032995655076,23.80613877463324,1.371956307234479,1.0326125146165854,-1.34211278453558,-0.12798431567754892,0.0011317664026265315,1.195134312631004,-0.2397326409771039,-0.8999540914689698,-0.3659838948018268,0.16100961163894922,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt32,200,32,40,0,-115658.86655768604,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84034,0.935913725126602,-0.0086540598988504,-1.8333710430264996,0.07579261725852514,0.023876013158217586,-1.3919970994764963,-7.497126279786692,2.8841261151109205,0.020190837282372604,91.18362950505235,23.964743654137425,3.6313318493930007,45.63576918336628,22.03107224514124,1.452241988935356,1.138446532973559,-1.271968723436484,-0.1353306721821139,0.0012140149592234258,1.1829695070617474,-0.15025931717445473,-0.8986412170229715,-0.42344724360916697,0.15907205333836524,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt34,200,34,44,0,-113806.93637073008,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84035,0.9339009658324754,-0.0057110140947674096,-1.7402983717189782,0.015181895542817861,0.019540703439662327,-1.4108134481008932,-7.4939895866844335,2.8892024060028154,0.004034175404398002,98.33472764113353,24.581885580829624,3.614652995027858,48.63685099012979,22.273483403499093,1.4070022921860694,1.0709673404650462,-1.2863730787720442,-0.1305636418129877,0.001160713804452789,1.1593559041332362,-0.1777756271018465,-0.9112468397824881,-0.3716263169949486,0.21396884776079303,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt35,200,35,39,0,-117467.5649139332,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84037,0.9481618387670786,0.0006397659862120639,-1.7819880033093158,0.012812890881477995,0.03323888447483364,-1.383012097773488,-7.941413175833633,3.37372581831738,0.01157721937498033,99.91317934127507,24.670300930360618,3.2543489163232193,50.18901093385654,22.452320498611368,1.1751698412820406,1.031383669353164,-1.4440209381057814,-0.12981920919045117,0.001059181861672893,1.1230099266010223,-0.21283987385888278,-0.9155781208486904,-0.3498002098117643,0.09854647558522964,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt37,200,37,42,0,-115328.88479402888,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84038,0.9424806269149058,-0.006619425913193523,-1.7695059415355037,0.05698670491234489,0.0016874841308502433,-1.3556785206583464,-7.408672181473626,2.899500205586155,0.015348713742099038,101.99522825911292,26.63075651832654,3.663996897156151,51.08273713588112,24.303548924374837,1.4769595043832588,1.0023199965611216,-1.2005510172223381,-0.11944435987525069,0.00014832093577498123,1.1826807989629333,-0.208956414112174,-0.9081245094886606,-0.35976983334606716,0.156628766211284,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt38,200,38,35,0,-113373.3867220764,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84039,0.9325438305156812,-0.008399541263593605,-1.7107271987843753,0.043223231974743766,0.01088679629595528,-1.3622592564556681,-7.240885286168536,3.0134521971817607,0.08125798221406548,92.99154915958084,23.395209487974412,3.696596386006706,46.05327839527106,21.378029701858182,1.447253070555597,1.022352313113108,-1.2659254060403762,-0.12094793825526791,0.00011352944097462359,1.156315048953756,-0.24477919550504224,-0.908830271853519,-0.3653056533114461,0.0970127004455857,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt39,200,39,35,0,-114990.86854319976,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
84040,0.9246246032823082,-0.0018981387420071785,-1.7126349909630258,-0.02458169916120949,0.011677964542234198,-1.4710123990617405,-7.342771541820184,2.9307737818950206,0.06727335304340584,114.3022966421593,23.197490597822377,3.5850818500306683,55.92994956356914,21.249624899166232,1.4369645853021826,1.000143666921027,-1.2392438616850898,-0.12534999324012586,0.001112168642052188,1.1664869039893877,-0.18959853527000914,-0.915752738365227,-0.274037861291391,0.1488808874298525,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt_final_timepoint_samp.txt40,200,40,36,0,-115369.81588235313,samples_run200_AGETs.13_randomnumber.20000_it.96_walkers.3_technicalreplicate_restart1.txt,4.0,3.0
